"year","division","tpp"
2016,"Farrer",30.3734732894144
2016,"Fenner",61.1539770021093
2016,"Fisher",41.5073603393031
2016,"Flinders",43.8812444342306
2016,"Flynn",51.7228153167551
2016,"Forde",51.1787138152193
2016,"Forrest",37.9960707269155
2016,"Fowler",67.0660873542191
2016,"Franklin",61.1597975946025
2016,"Fraser",71.4423548392199
2016,"Fremantle",58.5885269853451
2016,"Gellibrand",65.5762942979048
2016,"Gilmore",49.7443298031908
2016,"Gippsland",32.0421229575062
2016,"Goldstein",38.4884908476707
2016,"Gorton",67.7347932242459
2016,"Grayndler",72.473203419405
2016,"Greenway",56.9109630526953
2016,"Grey",42.5572893240609
2016,"Griffith",51.4326956579449
2016,"Groom",35.8533298133971
2016,"Hasluck",48.0168737677106
2016,"Herbert",50.7191026240235
2016,"Higgins",39.5177762420333
2016,"Hindmarsh",58.6276815280511
2016,"Hinkler",41.938519863731
2016,"Holt",60.7704110474037
2016,"Hotham",53.6420652518214
2016,"Hughes",40.717929492415
2016,"Hume",39.7828596693768
2016,"Hunter",62.5960717335611
2016,"Indi",45.0598245147567
2016,"Isaacs",50.3495449062397
2016,"Jagajaga",54.4381393653851
2016,"Kennedy",43.7772329246935
2016,"Kingsford Smith",58.9377155397638
2016,"Kingston",64.3788510063963
2016,"Kooyong",38.1240252506498
2016,"La Trobe",47.4055807535926
2016,"Lalor",64.7337101649655
2016,"Leichhardt",46.7267063921994
2016,"Lilley",53.9335708831764
2016,"Lindsay",51.3170131111897
2016,"Lingiari",53.0816189998327
2016,"Longman",51.9716363746792
2016,"Lyne",38.136665806515
2016,"Lyons",54.4662396851848
2016,"Macarthur",58.8950739667531
2016,"Mackellar",34.567741266715
2016,"Macnamara",53.6121054344289
2016,"Macquarie",52.7521525215252
2016,"Makin",60.8034423486289
2016,"Mallee",29.7947561988373
2016,"Maranoa",34.2603024014231
2016,"Maribyrnong",59.0635412404279
2016,"Mayo",46.7759886336727
2016,"McEwen",55.7074449153913
2016,"McMahon",63.9884078971201
2016,"McPherson",38.5471294985987
2016,"Melbourne",66.6875729288215
2016,"Menzies",43.0574358495557
2016,"Mitchell",31.5294674320437
2016,"Monash",42.2722722722723
2016,"Moncrieff",36.1074037399004
2016,"Moore",39.4480980012895
2016,"Moreton",54.8857063317764
2016,"New England",33.7909508772358
2016,"Newcastle",63.9529049347134
2016,"Nicholls",26.8102312131332
2016,"North Sydney",36.4041237113402
2016,"O'Connor",35.1904041315545
2016,"Oxley",59.3794202164882
2016,"Page",48.1322684284357
2016,"Parkes",35.578506767718
2016,"Parramatta",58.8412328492275
2016,"Paterson",60.8685495622768
2016,"Pearce",46.8097897451312
2016,"Perth",54.0269085824395
2016,"Petrie",48.9851650618004
2016,"Rankin",61.5931138133625
2016,"Reid",45.5296411293234
2016,"Richmond",53.7098672045722
2016,"Riverina",33.7764426950257
2016,"Robertson",49.178926370534
2016,"Ryan",41.2378536943103
2016,"Scullin",70.1806868493479
2016,"Shortland",60.2577746245714
2016,"Solomon",57.0733845383202
2016,"Spence",68.1627976486998
2016,"Stirling",44.17415532524
2016,"Sturt",43.9433077289103
2016,"Swan",47.1776753878966
2016,"Sydney",63.566992883652
2016,"Tangney",38.7408088235294
2016,"Wannon",41.0777438839128
