"date","pollster","party","poll"
1985-11-13,"F2F Morgan","alp",48
1985-11-13,"F2F Morgan","oth",8
1985-11-27,"F2F Morgan","lnp",45
1985-11-27,"F2F Morgan","alp",46
1985-11-27,"F2F Morgan","oth",9
1985-12-11,"F2F Morgan","lnp",43
1985-12-11,"F2F Morgan","alp",48
1985-12-11,"F2F Morgan","oth",9
1986-01-15,"F2F Morgan","lnp",43
1986-01-15,"F2F Morgan","alp",50
1986-01-15,"F2F Morgan","oth",7
1986-01-29,"F2F Morgan","lnp",42
1986-01-29,"F2F Morgan","alp",50
1986-01-29,"F2F Morgan","oth",8
1986-02-12,"F2F Morgan","lnp",46
1986-02-12,"F2F Morgan","alp",48
1986-02-12,"F2F Morgan","oth",6
1986-02-26,"F2F Morgan","lnp",45
1986-02-26,"F2F Morgan","alp",48
1986-02-26,"F2F Morgan","oth",7
1986-03-12,"F2F Morgan","lnp",43
1986-03-12,"F2F Morgan","alp",49
1986-03-12,"F2F Morgan","oth",8
1986-03-26,"F2F Morgan","lnp",44
1986-03-26,"F2F Morgan","alp",48
1986-03-26,"F2F Morgan","oth",8
1986-04-09,"F2F Morgan","lnp",42
1986-04-09,"F2F Morgan","alp",49
1986-04-09,"F2F Morgan","oth",9
1986-04-23,"F2F Morgan","lnp",46
1986-04-23,"F2F Morgan","alp",45
1986-04-23,"F2F Morgan","oth",9
1986-05-07,"F2F Morgan","lnp",42
1986-05-07,"F2F Morgan","alp",48
1986-05-07,"F2F Morgan","oth",10
1986-05-21,"F2F Morgan","lnp",43
1986-05-21,"F2F Morgan","alp",49
1986-05-21,"F2F Morgan","oth",8
1986-06-04,"F2F Morgan","lnp",43
1986-06-04,"F2F Morgan","alp",48
1986-06-04,"F2F Morgan","oth",9
1986-06-18,"F2F Morgan","lnp",46
1986-06-18,"F2F Morgan","alp",46
1986-06-18,"F2F Morgan","oth",8
1986-07-02,"F2F Morgan","lnp",43
1986-07-02,"F2F Morgan","alp",48
1986-07-02,"F2F Morgan","oth",9
1986-07-16,"F2F Morgan","lnp",47
1986-07-16,"F2F Morgan","alp",44
1986-07-16,"F2F Morgan","oth",9
1986-07-30,"F2F Morgan","lnp",47
1986-07-30,"F2F Morgan","alp",43
1986-07-30,"F2F Morgan","oth",10
1986-08-13,"F2F Morgan","lnp",50
1986-08-13,"F2F Morgan","alp",40
1986-08-13,"F2F Morgan","oth",10
1986-08-24,"F2F Morgan","lnp",46
1986-08-24,"F2F Morgan","alp",43
1986-08-24,"F2F Morgan","oth",11
1986-09-03,"F2F Morgan","lnp",47
1986-09-03,"F2F Morgan","alp",43
1986-09-03,"F2F Morgan","oth",10
1986-09-17,"F2F Morgan","lnp",48
1986-09-17,"F2F Morgan","alp",42
1986-09-17,"F2F Morgan","oth",10
1986-10-01,"F2F Morgan","lnp",48
1986-10-01,"F2F Morgan","alp",41
1986-10-01,"F2F Morgan","oth",11
1986-10-15,"F2F Morgan","lnp",47
1986-10-15,"F2F Morgan","alp",43
1986-10-15,"F2F Morgan","oth",10
1986-10-29,"F2F Morgan","lnp",46
1986-10-29,"F2F Morgan","alp",44
1986-10-29,"F2F Morgan","oth",10
1986-11-12,"F2F Morgan","lnp",45
1986-11-12,"F2F Morgan","alp",44
1986-11-12,"F2F Morgan","oth",11
1986-11-26,"F2F Morgan","lnp",48
1986-11-26,"F2F Morgan","alp",42
1986-11-26,"F2F Morgan","oth",10
1986-12-10,"F2F Morgan","lnp",46
1986-12-10,"F2F Morgan","alp",45
1986-12-10,"F2F Morgan","oth",9
1987-01-14,"F2F Morgan","lnp",47
1987-01-14,"F2F Morgan","alp",44
1987-01-14,"F2F Morgan","oth",9
1987-01-28,"F2F Morgan","lnp",46
1987-01-28,"F2F Morgan","alp",46
1987-01-28,"F2F Morgan","oth",8
1987-02-08,"F2F Morgan","lnp",49
1987-02-08,"F2F Morgan","alp",41
1987-02-08,"F2F Morgan","oth",10
1987-02-15,"F2F Morgan","lnp",46
1987-02-15,"F2F Morgan","alp",44
1987-02-15,"F2F Morgan","oth",10
1987-02-22,"F2F Morgan","lnp",45
1987-02-22,"F2F Morgan","alp",47
1987-02-22,"F2F Morgan","oth",8
1987-03-01,"F2F Morgan","lnp",44
1987-03-01,"F2F Morgan","alp",47
1987-03-01,"F2F Morgan","oth",9
1987-03-11,"F2F Morgan","lnp",45.5
1987-03-11,"F2F Morgan","alp",45.5
1987-03-11,"F2F Morgan","oth",9
1987-03-22,"F2F Morgan","lnp",46
1987-03-22,"F2F Morgan","alp",45
1987-03-22,"F2F Morgan","oth",9
1987-04-01,"F2F Morgan","lnp",48
1987-04-01,"F2F Morgan","alp",43
1987-04-01,"F2F Morgan","oth",9
1987-04-15,"F2F Morgan","lnp",46
1987-04-15,"F2F Morgan","alp",47
1987-04-15,"F2F Morgan","oth",7
1987-04-28,"F2F Morgan","lnp",43
1987-04-28,"F2F Morgan","alp",49
1987-04-28,"F2F Morgan","oth",8
1987-05-13,"F2F Morgan","lnp",44
1987-05-13,"F2F Morgan","alp",49
1987-05-13,"F2F Morgan","oth",7
1987-05-24,"F2F Morgan","lnp",45
1987-05-24,"F2F Morgan","alp",48
1987-05-24,"F2F Morgan","oth",7
1987-05-31,"F2F Morgan","lnp",45
1987-05-31,"F2F Morgan","alp",47
1987-05-31,"F2F Morgan","oth",8
1987-06-07,"F2F Morgan","lnp",44
1987-06-07,"F2F Morgan","alp",49
